Name,Ticker,Inv. Type: MF or ETF,Morningstar Category,MorningStar rating: 3 years,MorningStar rating: 5 years,MorningStar rating: 10 years,MorningStar rating: Overall,Total Return: 1 year,Total Return: 3 year,Total Return: 5 year,Total Return: 10 year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,YTD Return,Net Expense Ratio,Gross Expense Ratio,Std Dev: 3 years,Std Dev: 5 years,Std Dev: 10 years,Sharpe Ratio: 3 years,Sharpe Ratio: 5 years,Sharpe Ratio: 10 years,Cash,US Stocks,INT. Stocks,Us Bonds,Int. Bond,Others
Columbia Small Cap Value Fund II Institutional 3 Class (CRRYX),CRRYX,MF,Small Value,4.0,3.0,4.0,3.0,57.07,9.58,10.42,NA,NA,NA,NA,40.4,4.79,-2.69,23.92,11.19,-17.29,20.83,10.33,25.38,0.83,0.89,28.16,23.08,19.78,0.48,0.61,0.6,2.38,95.2,2.42,NA,NA,NA
PIMCO RAE US Small Fund Institutional Class (PMJIX),PMJIX,MF,Small Value,4.0,4.0,N/A,4.0,65.75,12.13,12.2,NA,29.18,-5.26,19.05,43.75,4.12,-6.92,27.14,9.27,-11.66,20.22,6.88,34.69,0.54,0.54,28.75,23.53,NA,0.6,0.73,NA,0.16,99.8,0.04,NA,NA,NA
