Name,Ticker,Inv. Type: MF or ETF,Morningstar Category,MorningStar rating: 3 years,MorningStar rating: 5 years,MorningStar rating: 10 years,MorningStar rating: Overall,Total Return: 1 year,Total Return: 3 year,Total Return: 5 year,Total Return: 10 year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,YTD Return,Net Expense Ratio,Gross Expense Ratio,Std Dev: 3 years,Std Dev: 5 years,Std Dev: 10 years,Sharpe Ratio: 3 years,Sharpe Ratio: 5 years,Sharpe Ratio: 10 years,Cash,US Stocks,INT. Stocks,Us Bonds,Int. Bond,Others
Dodge & Cox Income Fund (DODIX),DODIX,MF,Intermediate Core-Plus Bond,4.0,4.0,4.0,4.0,2.29,6.55,4.64,4.22,7.17,4.76,7.94,0.64,5.48,-0.59,5.61,4.36,-0.31,9.73,9.45,0.25,0.42,0.42,3.82,3.26,3.02,1.34,1.04,1.2,2.55,NA,NA,79.84,15.25,2.36
TIAA-CREF Core Impact Bond Fund Institutional Class (TSBIX),TSBIX,MF,Intermediate Core Bond,3.0,4.0,N/A,4.0,1.21,5.91,4.04,NA,NA,NA,NA,-1.27,8.8,1.18,3.19,4.51,0.33,8.73,7.45,0.13,0.36,0.36,4.58,3.91,NA,0.95,0.62,NA,12.39,NA,NA,76.39,19.79,-8.58
Calvert Green Bond Fund Class I (CGBIX),CGBIX,MF,Intermediate Core-Plus Bond,3.0,3.0,N/A,3.0,1.43,5.7,3.84,NA,NA,NA,NA,NA,5.28,0.19,4.05,3.37,0.68,8.34,7.18,-0.07,0.48,0.54,4.95,4.05,NA,0.82,0.58,NA,6.56,0.26,NA,58.42,30.42,4.34
Delaware Ivy Securian Core Bond Fund Class R6 (IBNDX),IBNDX,MF,Intermediate Core-Plus Bond,3.0,4.0,4.0,4.0,2.9,6.06,4.39,NA,NA,NA,NA,NA,NA,0.15,4.69,5.58,-0.34,9.21,7.14,1.12,0.45,0.58,5.4,4.49,3.73,0.84,0.68,0.95,2.63,NA,0.56,92.19,4.63,NA
American Funds Strategic Bond Fund Class F-3 (ANBGX),ANBGX,MF,Intermediate Core-Plus Bond,5.0,5.0,N/A,5.0,0.95,9.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,8.34,18.51,-0.44,0.4,0.43,3.96,3.55,NA,1.83,1.18,NA,9.42,0.01,NA,76.04,13.79,0.74
Federated Hermes Total Return Bond Fund Class R6 Shares (FTRLX),FTRLX,MF,Intermediate Core-Plus Bond,4.0,4.0,4.0,4.0,2.72,6.8,4.57,NA,NA,NA,NA,NA,NA,NA,4.98,4.51,-0.85,9.64,9.6,0.79,0.38,0.42,3.71,3.31,3.03,1.42,0.96,1.16,4.92,0.05,0.01,75.36,15.39,4.28
Virtus Seix Total Return Bond Fund Class R6 (SAMZX),SAMZX,MF,Intermediate Core-Plus Bond,4.0,3.0,3.0,3.0,0.33,6.65,3.97,NA,NA,NA,NA,NA,NA,0.34,3.13,2.83,-0.17,7.18,11.3,-0.19,0.31,0.46,3.8,3.51,3.24,1.27,0.65,0.97,4.23,NA,NA,90.05,4.76,0.97
Pioneer Bond Fund Class K (PBFKX),PBFKX,MF,Intermediate Core-Plus Bond,4.0,4.0,4.0,4.0,5.06,6.79,4.64,NA,NA,NA,NA,0.89,6.13,0.48,4.57,4.5,-0.48,9.35,9.03,1.41,0.34,0.34,6.43,5.16,3.97,0.83,0.67,0.97,28.65,NA,0.04,59.91,8.98,2.41
JPMorgan Total Return Fund Class R6 Shares (JMTIX),JMTIX,MF,Intermediate Core-Plus Bond,3.0,3.0,4.0,3.0,-0.55,5.68,4.01,NA,NA,NA,NA,NA,NA,-0.4,4.93,4.27,-0.59,9.69,7.27,-0.47,0.41,0.48,4.01,3.54,3.09,1.05,0.69,1.11,20.84,0.24,NA,67.47,7.82,3.63
Janus Henderson Flexible Bond Fund Class N (JDFNX),JDFNX,MF,Intermediate Core-Plus Bond,5.0,4.0,4.0,4.0,1.62,7.06,4.21,NA,NA,NA,NA,0.07,4.97,0.33,2.67,3.81,-0.91,9.66,10.97,0.1,0.44,0.44,4.42,3.83,3.28,1.21,0.75,1.06,9.3,0.24,NA,84.14,3.08,3.24
