Name,Ticker,Inv. Type: MF or ETF,Morningstar Category,MorningStar rating: 3 years,MorningStar rating: 5 years,MorningStar rating: 10 years,MorningStar rating: Overall,Total Return: 1 year,Total Return: 3 year,Total Return: 5 year,Total Return: 10 year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,YTD Return,Net Expense Ratio,Gross Expense Ratio,Std Dev: 3 years,Std Dev: 5 years,Std Dev: 10 years,Sharpe Ratio: 3 years,Sharpe Ratio: 5 years,Sharpe Ratio: 10 years,Cash,US Stocks,INT. Stocks,Us Bonds,Int. Bond,Others
Schwab U.S. Aggregate Bond ETF (SCHZ),SCHZ,ETF ,Intermediate-Term Bond,3.0,3.0,3.0,3.0,-0.68,5.26,2.9,NA,NA,NA,3.9,-2.19,5.97,0.56,2.49,3.46,-0.09,8.64,7.5,-0.59,NA,NA,3.47,3.25,NA,1.18,0.56,NA,2.16,NA,NA,90.05,6.97,0.82
iShares CMBS ETF (CMBS),CMBS,ETF ,Intermediate-Term Bond,4.0,3.0,N/A,3.0,1.74,5.62,3.11,NA,NA,NA,NA,0.03,3.47,0.61,3.04,3.07,0.59,8.03,7.84,-0.05,NA,NA,3.88,3.51,NA,1.14,0.59,NA,0.33,NA,NA,99.67,NA,NA
iShares Core U.S. Aggregate Bond ETF (AGG),AGG,ETF ,Intermediate-Term Bond,3.0,3.0,3.0,3.0,-0.55,5.27,2.93,3.33,6.3,7.58,4.04,-2.15,6.04,0.48,2.56,3.53,-0.05,8.68,7.42,-0.69,NA,NA,3.5,3.26,3.03,1.17,0.57,0.9,6.74,NA,NA,86.08,6.33,0.86
iShares Government-Credit Bond ETF (GBF),GBF,ETF ,Intermediate-Term Bond,4.0,3.0,3.0,3.0,-0.93,5.74,3.02,3.52,6.4,8.5,4.55,-2.56,5.81,0.05,2.77,3.84,-0.61,9.59,8.61,-1.05,NA,NA,4.27,3.87,3.57,1.06,0.52,0.82,NA,NA,NA,NA,NA,NA
SPDR Portfolio Aggregate Bond ETF (SPAB),SPAB,ETF ,Intermediate-Term Bond,3.0,3.0,3.0,3.0,-0.54,5.28,2.94,3.29,6.66,7.62,3.94,-2.08,5.84,0.5,2.57,3.51,-0.14,8.73,7.38,-0.54,NA,NA,3.52,3.28,3.02,1.16,0.56,0.89,6.17,NA,NA,86.12,6.95,0.76
Vanguard Intermediate-Term Bond Index Fund ETF Shares (BIV),BIV,ETF ,Intermediate-Term Bond,5.0,4.0,5.0,5.0,-0.44,6.61,3.35,4.21,9.55,10.62,7.02,-3.44,7.0,1.23,2.86,3.8,-0.09,10.19,9.71,-0.64,NA,NA,4.18,4.02,4.09,1.29,0.58,0.89,0.03,NA,NA,88.83,9.74,1.4
Vanguard Total Bond Market Index Fund ETF Shares (BND),BND,ETF ,Intermediate-Term Bond,3.0,3.0,3.0,3.0,-0.59,5.41,2.98,3.36,6.51,7.71,4.04,-2.14,5.96,0.39,2.57,3.62,-0.04,8.71,7.71,-0.66,NA,NA,3.63,3.38,3.14,1.16,0.56,0.88,0.14,NA,NA,91.34,7.68,0.84
PIMCO Active Bond Exchange-Traded Fund (BOND),BOND,ETF ,NA,3.0,3.0,N/A,3.0,1.97,5.71,3.84,NA,NA,NA,NA,-1.18,6.87,0.73,3.11,4.76,0.17,8.69,7.63,0.45,NA,NA,3.87,3.48,NA,1.15,0.79,NA,-18.19,NA,0.05,98.69,15.38,4.06
Fidelity Total Bond ETF (FBND),FBND,ETF ,NA,4.0,4.0,N/A,4.0,2.88,6.34,4.26,NA,NA,NA,NA,NA,NA,-1.44,6.64,4.07,-0.67,9.9,9.51,0.41,NA,NA,3.91,3.49,NA,1.31,0.89,NA,14.35,0.1,NA,74.36,9.73,1.46
iShares Core Total USD Bond Market ETF (IUSB),IUSB,ETF ,NA,3.0,3.0,N/A,3.0,0.75,5.6,3.33,NA,NA,NA,NA,NA,NA,0.46,3.78,4.06,-0.38,9.26,7.59,-0.38,NA,NA,3.53,3.25,NA,1.24,0.7,NA,16.38,NA,NA,69.02,13.55,1.06
PIMCO Enhanced Low Duration Active Exchange-Traded Fund (LDUR),LDUR,ETF ,Short-Term Bond,3.0,4.0,N/A,4.0,1.35,3.27,2.67,NA,NA,NA,NA,NA,NA,2.04,2.84,2.14,1.34,4.34,4.48,0.33,NA,NA,2.29,1.83,NA,0.91,0.85,NA,-30.81,NA,NA,101.3,26.0,3.5
AdvisorShares Newfleet Multi-Sector Income ETF (MINC),MINC,ETF ,NA,3.0,3.0,N/A,3.0,4.46,3.24,2.69,NA,NA,NA,NA,NA,2.11,1.27,3.24,2.31,0.54,5.34,3.55,0.45,NA,NA,3.55,2.79,NA,0.55,0.55,NA,6.23,NA,NA,87.79,5.98,NA
iShares Core 1-5 Year USD Bond ETF (ISTB),ISTB,ETF ,Short-Term Bond,4.0,4.0,N/A,4.0,1.57,3.97,2.51,NA,NA,NA,NA,0.12,1.06,0.84,2.65,1.83,1.18,5.53,4.76,0.33,NA,NA,1.6,1.51,NA,1.72,0.95,NA,3.03,NA,NA,75.35,19.51,2.12
iShares 0-5 Year Investment Grade Corporate Bond ETF (SLQD),SLQD,ETF ,Short-Term Bond,4.0,4.0,N/A,4.0,1.41,4.04,2.69,NA,NA,NA,NA,NA,1.36,1.11,2.15,2.13,1.16,6.08,4.67,0.34,NA,NA,2.64,2.18,NA,1.08,0.73,NA,0.93,NA,NA,77.25,14.63,7.18
Fidelity Limited Term Bond ETF (FLTB),FLTB,ETF ,Short-Term Bond,4.0,4.0,N/A,4.0,1.16,4.15,2.53,NA,NA,NA,NA,NA,NA,1.26,2.29,1.85,0.88,6.13,5.31,0.02,NA,NA,2.92,2.42,NA,0.99,0.59,NA,1.42,NA,NA,77.09,15.91,5.59
Fidelity Advisor Strategic Income Fund Class Z (FIWDX),FIWDX,MF,Multisector Bond,4.0,4.0,3.0,4.0,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.23,7.55,3.33,0.61,0.61,7.04,5.74,5.13,0.75,0.79,0.79,0.92,5.92,0.42,62.86,28.37,1.52
