ClearBridge Appreciation Fund Class IS (LMESX),LMESX,MF,NA,4.0,3.0,3.0,3.0,35.31,17.47,14.08,14.3,12.82,2.62,15.97,29.77,11.2,1.89,9.47,19.98,-1.79,30.32,14.91,NA,NA,NA,17.2,14.07,12.72,0.99,1.05,1.04,0.26,96.68,3.06,NA,NA,NA
iShares Morningstar U.S. Equity ETF (JKD),JKD,NA,NA,N/A,N/A,N/A,N/A,30.02,13.09,16.19,13.64,21.26,12.68,3.2,17.31,34.14,16.85,-1.12,13.58,22.11,-8.4,32.77,2.02,NA,NA,19.05,15.26,13.6,0.66,0.98,0.96,NA,NA,NA,NA,NA,NA
Invesco Defensive Equity ETF (DEF),DEF,ETF ,NA,2.0,2.0,2.0,2.0,29.41,13.85,12.67,11.69,19.42,12.63,7.58,22.64,12.83,-4.5,14.16,21.15,-3.73,28.29,7.46,NA,NA,NA,16.77,13.68,11.71,0.79,0.86,0.96,0.01,97.91,2.07,NA,NA,NA
Vanguard Total Stock Market Index Fund ETF Shares (VTI),VTI,ETF ,NA,3.0,4.0,4.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanguard Russell 1000 Growth Index Fund ETF Shares (VONG),VONG,ETF ,NA,4.0,4.0,4.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,99.84,0.25,NA,NA,NA
Fidelity Nasdaq Composite Index ETF (ONEQ),ONEQ,ETF ,NA,4.0,4.0,5.0,5.0,45.04,25.7,25.69,19.2,17.8,-0.96,17.23,39.68,14.59,6.88,8.92,29.22,-3.07,37.02,44.79,NA,NA,NA,20.66,16.85,15.62,1.16,1.38,1.17,NA,94.67,5.33,NA,NA,NA
Vanguard FTSE Developed Markets Index Fund ETF Shares (VEA),VEA,ETF ,NA,3.0,4.0,4.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.87,98.86,NA,NA,0.1
iShares Core MSCI Total International Stock ETF (IXUS),IXUS,ETF ,NA,3.0,4.0,N/A,4.0,37.45,9.6,11.21,NA,NA,NA,NA,15.85,-3.96,-4.62,4.66,28.08,-14.55,21.85,11.14,NA,NA,NA,17.96,14.86,NA,0.53,0.72,NA,0.37,0.84,98.7,NA,NA,0.09
iShares Select Dividend ETF (DVY),DVY,ETF ,NA,2.0,2.0,4.0,3.0,52.46,11.19,11.46,12.05,17.69,11.9,10.52,28.71,14.89,-2.03,21.46,14.95,-6.3,22.66,-4.9,27.76,NA,NA,20.56,16.35,13.48,0.56,0.68,0.87,0.28,97.73,1.99,NA,NA,NA
Vanguard Russell 1000 Value Index Fund ETF Shares (VONV),VONV,ETF ,NA,3.0,3.0,3.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,97.97,1.45,NA,NA,NA
iShares Morningstar Value ETF (JKF),JKF,NA,NA,N/A,N/A,N/A,N/A,17.55,6.57,11.15,9.25,11.26,14.38,1.94,12.56,28.54,8.93,-1.56,18.54,14.82,-6.1,25.33,7.64,NA,NA,18.54,15.38,13.62,0.36,0.69,0.67,NA,NA,NA,NA,NA,NA
